id	link	price	title	ilan_no	yer	oda	metrekare	bina_yasi	kat	banyo	label
5	https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32378733	3800000	YUSİT'TE HAVUZBAŞI, ŞEREFİYELİ KONUMDA LÜKS DEKORASYONLU!	1259-10886	İstanbul/Beşiktaş/Ulus	5	223	23	2	2	10
7	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ilker-emlakcidan-daire/detay/32354082	239000	MAVİ'DEN İLKERDE PARKA SIFIR CADDEYE YAKIN GİRİŞ KAT FUL YAPILI	3100-4442	Ankara/Çankaya/İlker	4	125	15	0	1	1
17	https://www.hurriyetemlak.com/konut-satilik/istanbul-sariyer-emirgan-emlakcidan-daire/detay/32345786	3600000	Sarıyer Emirgan 5+1 Satılık Fırsat Kısmı Deniz Manzaralı	1172-185626	İstanbul/Sarıyer/Emirgan	6	300	40	2	3	10
22	https://www.hurriyetemlak.com/konut-satilik/tekirdag-suleymanpasa-hurriyet-emlakcidan-daire/detay/32321338	240000	Hürriyet mah. 3+1 120m2 Baykallar Ateş sitesinde ara kat daire	103119-525	Tekirdağ/Süleymanpaşa/Hürriyet	4	140	15	3	1	1
25	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-harbiye-emlakcidan-daire/detay/32368842	393000	YİĞİT'DEN BU KALİTE BU FİYATA ACİL ÇOK UYGUN ALAN KAZANIR 	28568-10799	Ankara/Çankaya/Harbiye	4	145	20	2	2	2
51	https://www.hurriyetemlak.com/konut-satilik/corum-merkez-ulukavak-emlakcidan-bina/detay/32384201	140000	CENGİZYAPI-TOPRAK SANAYİ OKULU ÇEVRESİNDE SATILIK 3+1 DAİRE	104765-296	Çorum/Merkez/Ulukavak	4	125	4	1	1	1
54	https://www.hurriyetemlak.com/konut-satilik/aydin-kusadasi-davutlar-emlakcidan-mustakil-ev/detay/31759777	830000	DENİZE SIFIR OLAN KÖYÜM SİTESİNDE MASRAFSIZ MÜSTAKİL EV	28110-7369	Aydın/Kuşadası/Davutlar	6	160	30	0	2	4
58	https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/30517169	529000	 Bağlıca Satılık Ara Katta Ultra Lüks Yapılı Daire IRMAK GYD	28880-1722	Ankara/Etimesgut/Bağlıca	5	180	1	4	2	3
60	https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-etlik-emlakcidan-daire/detay/32348126	275000	OTURUMA HAZIR İSKANLI 3 BLOKLU MUHTEŞEM SİTE İÇİNDE LÜKS DAİRE..	26004-11786	Ankara/Keçiören/Etlik	4	175	2	3	2	1
67	https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-suadiye-emlakcidan-daire/detay/32350852	820000	EMİR'DEN MARKS&SPENCER'A ÇOK YAKIN ULTRA LÜX DEKORLU 145 M2 3+1	1100-9520	İstanbul/Kadıköy/Suadiye	4	145	25	1	2	4
76	https://www.hurriyetemlak.com/konut-satilik/ankara-pursaklar-ayyildiz-emlakcidan-daire/detay/31426964	390000	PURSAKLAR'DA FULL+FULL 8. KATTA SATILIK DAİRE BENT EMLAK'TAN	2703-14740	Ankara/Pursaklar/Ayyıldız	5	190	0	8	2	2
99	https://www.hurriyetemlak.com/konut-satilik/mugla-bodrum-gundogan-emlakcidan-mustakil-ev/detay/32054233	630000	BODRUM GÜNDOĞAN'da SİTE İÇİ MÜSTAKİL VİLLA Favorilerime Ekle Yaz	51505-302	Muğla/Bodrum/Gündoğan	4	140	12	0	2	3
102	https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-umit-emlakcidan-daire/detay/30320155	585000	ÜMİTKÖY DORUKENT 160 M2. 3+1 MANZARA TERAS FUL YAPILI DUBLEKS	41876-3516	Ankara/Çankaya/Ümit	4	160	10	10	2	3
