id,link,price,title,ilan_no,yer,oda,metrekare,bina_yasi,kat,banyo
1,https://www.hurriyetemlak.com/konut-satilik/ankara-altindag-karapurcek-emlakcidan-daire/detay/32365475,159000,HİLALDEN KARAPÜRÇEKTE 3+1 MERKEZE YAKIN ÇİFT BANYO ASANSÖRLÜ FUL,62044-2112,Ankara/Altındağ/Karapürçek,4,145,4,2,2
2,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32377585,250000,AKÇAY CEMRE EMLAKTAN DENİZE YAKIN 2+1 LÜX DAİRE,77789-1233,Balıkesir/Edremit/Akçay,3,95,0,1,1
3,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32356749,244000,ZÜMRÜT DEN AKÇAY DA ZOR BEĞENENLER BU DAİREYİ ÇOK BEĞENECEKSİNİZ,99090-996,Balıkesir/Edremit/Akçay,3,90,0,1,1
4,https://www.hurriyetemlak.com/konut-satilik/istanbul-beylikduzu-adnan-kahveci-emlakcidan-daire/detay/32394345,1060000,Beylikdüzü Adnan Kahveci Satılık 280m2 5+2 Dubleks Lüks Site,107041-49,İstanbul/Beylikdüzü/Adnan Kahveci,7,300,1,5,3
5,https://www.hurriyetemlak.com/konut-satilik/istanbul-besiktas-ulus-emlakcidan-daire/detay/32378733,3800000,"YUSİT'TE HAVUZBAŞI, ŞEREFİYELİ KONUMDA LÜKS DEKORASYONLU!",1259-10886,İstanbul/Beşiktaş/Ulus,5,223,23,2,2
6,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-altinoluk-emlakcidan-daire/detay/32367933,300000,"ALTINOLUK TA 0,98 KREDİ İMKANIYLA SATILIK 2+1 LÜKS DAİRELER ",77162-2826,Balıkesir/Edremit/Altınoluk,3,80,0,0,1
7,https://www.hurriyetemlak.com/konut-satilik/ankara-cankaya-ilker-emlakcidan-daire/detay/32354082,239000,MAVİ'DEN İLKERDE PARKA SIFIR CADDEYE YAKIN GİRİŞ KAT FUL YAPILI,3100-4442,Ankara/Çankaya/İlker,4,125,15,0,1
8,https://www.hurriyetemlak.com/konut-satilik/ankara-golbasi-incek-emlakcidan-daire/detay/32376539,650000,İNCEK MERKEZDE ATILIM--UFUK ÜNV. ARASI 2+1 LANSMAN FİYATLARIYLA,86504-516,Ankara/Gölbaşı/İncek,3,117,0,3,1
9,https://www.hurriyetemlak.com/konut-satilik/ankara-mamak-peyami-sefa-emlakcidan-daire/detay/32362814,135000,MAMAK PEYAMİ SEFA MAHALLESİNDE SATILIK 2+1 DAİRE,80348-4050,Ankara/Mamak/Peyami Sefa,3,110,17,1,1
10,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-yukseltepe-emlakcidan-daire/detay/32300990,185000,Etlik Yükseltepe 1668.Cadde Yakını Kombili Otoparklı Mantolamalı,2472-6031,Ankara/Keçiören/Yükseltepe,4,120,0,2,1
11,https://www.hurriyetemlak.com/konut-satilik/istanbul-kadikoy-goztepe-emlakcidan-daire/detay/32359550,745000,GÖZTEPE'DE MERTTÜRK'DEN OYUNCAK MÜZESİNE YAKIN LÜX SIFIR ARA KA,2401-12892,İstanbul/Kadıköy/Göztepe,4,130,0,7,2
12,https://www.hurriyetemlak.com/konut-satilik/ankara-etimesgut-baglica-emlakcidan-daire/detay/32247474,375000,Bağlıca Satılık 4+1 Merkezi Konumda Site İçinde EMLAK KÜPÜNDEN,92647-994,Ankara/Etimesgut/Bağlıca,5,180,3,0,2
13,https://www.hurriyetemlak.com/konut-satilik/ankara-kecioren-yukseltepe-emlakcidan-daire/detay/32300891,185000,Etlik Yükseltepe Sancaktepe İlkokulu Yakını Ebeveyn Banyolu ,2472-6030,Ankara/Keçiören/Yükseltepe,4,120,0,1,2
14,https://www.hurriyetemlak.com/konut-satilik/izmir-buca-kurucesme-emlakcidan-daire/detay/32353274,132000,ACİLL! BUCA TINAZTEPE KAMPÜS YAK. SATILIK 1+1 SIFIR ARAKAT DAİRE,76720-241,İzmir/Buca/Kuruçeşme,2,55,0,2,1
15,https://www.hurriyetemlak.com/konut-satilik/balikesir-ayvalik-kucukkoy-emlakcidan-villa/detay/32262888,295000,SARIMSAKLI MERKEZDE 5+1 DENİZE YAKIN 4 KATLI SÜPER VİLLA,81975-787,Balıkesir/Ayvalık/Küçükköy,6,155,15,0,3
16,https://www.hurriyetemlak.com/konut-satilik/balikesir-edremit-akcay-emlakcidan-daire/detay/32374795,133000,UTKU'DAN AKÇAY DA HAFTANIN FIRSATI 1+1 2.KAT ACİL SATILIK DAİRE,94651-700,Balıkesir/Edremit/Akçay,2,55,4,2,1
17,https://www.hurriyetemlak.com/konut-satilik/istanbul-sariyer-emirgan-emlakcidan-daire/detay/32345786,3600000,Sarıyer Emirgan 5+1 Satılık Fırsat Kısmı Deniz Manzaralı,1172-185626,İstanbul/Sarıyer/Emirgan,6,300,40,2,3
