id,place
1,İstanbul/Beykoz/Çubuklu
2,İstanbul/Şişli/Harbiye
3,İstanbul/Beşiktaş/Bebek
4,İstanbul/Beşiktaş/Levazım
5,İstanbul/Bakırköy/Ataköy 2-5-6.
6,İstanbul/Beykoz/Acarlar
7,İstanbul/Üsküdar/Mehmet Akif Ersoy
8,İstanbul/Üsküdar/Çengelköy
9,İstanbul/Beşiktaş/Kuruçeşme
10,İstanbul/Sarıyer/Pınar
11,İstanbul/Sarıyer/Kumköy
12,İstanbul/Beşiktaş/Ulus
13,İstanbul/Bakırköy/Basınköy
14,İstanbul/Bakırköy/Şenlikköy
15,İstanbul/Beyoğlu/Gümüşsuyu
16,İstanbul/Sarıyer/Emirgan
17,İstanbul/Beşiktaş/Arnavutköy
18,İstanbul/Beşiktaş/Akat
19,İstanbul/Sarıyer/Tarabya
20,İstanbul/Beşiktaş/Ortaköy
21,İstanbul/Sarıyer/Kocataş
22,İstanbul/Tuzla/Tepeören
23,İstanbul/Sarıyer/İstinye
24,İstanbul/Beşiktaş/Dikilitaş
25,Balıkesir/Marmara/Okullar
26,İstanbul/Bakırköy/Yeşilyurt
27,İstanbul/Sarıyer/Demirci
28,İstanbul/Sarıyer/Uskumruköy
29,İstanbul/Beşiktaş/Nisbetiye
30,İstanbul/Üsküdar/Salacak
31,İzmir/Urla/İçmeler
32,İstanbul/Üsküdar/Bahçelievler
33,İstanbul/Büyükçekmece/Alkent 2000
34,İstanbul/Büyükçekmece/Karaagaç
35,Muğla/Bodrum/Ortakentyahşi
36,İstanbul/Bakırköy/Ataköy 7-8-9-10
37,İstanbul/Sarıyer/Baltalimanı
38,Antalya/Alanya/Bektaş
39,İstanbul/Beşiktaş/Etiler
40,İzmir/Çeşme/Sakarya
41,Antalya/Muratpaşa/Fener
42,İstanbul/Beşiktaş/Levent
43,İstanbul/Eyüp/Göktürk Merkez
44,İstanbul/Şişli/19 Mayıs
45,Kocaeli/Başiskele/Körfez
46,Muğla/Menteşe/Kötekli
47,İzmir/Güzelbahçe/Çelebi
48,İzmir/Konak/Akdeniz
49,İstanbul/Çekmeköy/Merkez
50,Sakarya/Sapanca/Rüstempaşa
51,İstanbul/Sarıyer/Zekeriyaköy
52,İzmir/Çeşme/Çakabey
53,Balıkesir/Ayvalık/Sakarya
54,İstanbul/Bakırköy/Yeşilköy
55,İstanbul/Beyoğlu/İstiklal
56,İzmir/Güzelbahçe/Mustafa Kemal Paşa
57,İstanbul/Sarıyer/Cumhuriyet
58,İstanbul/Sarıyer/Maden
59,İzmir/Güzelbahçe/Yalı
60,Sakarya/Sapanca/Tepebaşı
61,İzmir/Çeşme/Ilıca
62,İzmir/Çeşme/Ardıç
63,İstanbul/Kadıköy/Fenerbahçe
64,Muğla/Bodrum/Yalıkavak
65,İzmir/Torbalı/Çamlıca
66,İzmir/Çeşme/Alaçatı
67,Muğla/Bodrum/Göltürkbükü
68,İzmir/Konak/Akın Simav
69,İstanbul/Sarıyer/Ayazağa
70,Ankara/Çankaya/Söğütözü
71,Eskişehir/Tepebaşı/Hacı Seyit
72,İstanbul/Kadıköy/Caddebostan
73,İstanbul/Beykoz/Çiftlik
74,İstanbul/Şişli/Teşvikiye
75,Giresun/Merkez/Kayadibi
76,İstanbul/Başakşehir/Bahçeşehir 1. Kısım
77,İzmir/Çeşme/Çiftlik
78,Ankara/Çankaya/Mutlukent
79,İstanbul/Çekmeköy/Reşadiye
80,İstanbul/Kadıköy/Erenköy
81,İstanbul/Sarıyer/Yeniköy
82,İstanbul/Beyoğlu/Firuzağa
83,Bursa/Osmangazi/Hocahasan
84,İstanbul/Esenyurt/Ardıçlı
85,İstanbul/Sarıyer/Maslak
86,İstanbul/Kadıköy/Suadiye
87,Muğla/Menteşe/Ortaköy
88,Mersin(İçel)/Mezitli/Fatih
89,İzmir/Çeşme/Şifne
90,Ordu/Gülyalı/Yeniköy
91,Muğla/Bodrum/Bitez
92,Sakarya/Serdivan/Kemalpaşa
93,Ankara/Gölbaşı/Ballıkpınar
94,İstanbul/Ümraniye/Tantavi
95,İstanbul/Zeytinburnu/Sümer
96,Muğla/Fethiye/Karagözler
97,İzmir/Menderes/Gümüldür Cumhuriyet
98,İzmir/Çiğli/Sasallı Merkez
99,Muğla/Bodrum/Torba
100,Muğla/Bodrum/Gündoğan
101,İstanbul/Beyoğlu/Cihangir
102,İstanbul/Şişli/Esentepe
103,İzmir/Karşıyaka/Mavişehir
104,Balıkesir/Edremit/Zeytinli
105,Konya/Meram/Çandır
106,Muğla/Ortaca/Sarıgerme
107,İstanbul/Çatalca/Elbasan
108,Muğla/Bodrum/Yalı
109,Aydın/Kuşadası/Güzelçamlı
110,Mersin(İçel)/Yenişehir/Menteş
111,Muğla/Bodrum/Turgutreis
112,İstanbul/Şile/Çavuş
113,İstanbul/Kadıköy/Göztepe
114,İstanbul/Başakşehir/Bahçeşehir 2. Kısım
115,Muğla/Bodrum/Gümüşlük
116,İstanbul/Beşiktaş/Gayrettepe
117,İstanbul/Pendik/Sapan Bağları
118,İstanbul/Ataşehir/Barbaros
119,Bursa/Mudanya/Bademli
120,İstanbul/Bakırköy/Ataköy 3-4-11
121,İstanbul/Küçükçekmece/Halkalı Merkez
122,Antalya/Muratpaşa/Deniz
123,İstanbul/Beşiktaş/Türkali
