id,price
62044-2112,159000
77789-1233,250000
99090-996,244000
107041-49,1060000
1259-10886,3800000
77162-2826,300000
3100-4442,239000
86504-516,650000
80348-4050,135000
2472-6031,185000
2401-12892,745000
92647-994,375000
2472-6030,185000
76720-241,132000
81975-787,295000
94651-700,133000
1172-185626,3600000
6001-173,1180000
78349-734,185000
93825-3728,220000
106581-47,113999
103119-525,240000
79700-228,695000
1500-16585,295000
28568-10799,393000
56586-1488,159000
96721-358,450000
93678-4306,169000
93675-326,245000
41756-13535,530000
30001-5025,455000
74269-211,92000
106426-52,399000
82476-1133,339000
97600-1110,850000
93825-3718,232000
97600-1111,750000
79520-106,460000
84036-5119,215000
33600-48736,7000000
96922-225,199000
61986-962,220000
0-32370095,350000
104765-297,130000
82414-8,560000
7652-179971,598000
46377-5274,715000
81983-668,950000
91324-829,575000
0-31797931,900000
104765-296,140000
8700-818,465000
83478-505,309000
28110-7369,830000
15878-10712,235000
6060-35205,360000
99090-879,210000
28880-1722,529000
84036-5448,182000
26004-11786,275000
2602-4983,247000
6802-8788,899000
70746-1953,350000
4537-6946,1195000
82331-582,265000
1652-3218,1545000
1100-9520,820000
89358-479,475000
41016-145,1250000
5449-2413,295000
97600-1133,183000
94258-8,425000
62044-2108,76500
96721-353,129000
41016-141,900000
2703-14740,390000
97600-907,235000
6166-19836,330000
3861-64,255000
95179-488,135000
79470-783,560000
74495-2570,2650000
82476-1137,219000
0-32236167,330000
28880-1958,515000
92160-472,160000
84929-5441,155000
2498-637,415000
106426-53,455000
77789-1230,190000
79700-143,230000
77162-2113,650000
16761-22781,359000
692053-136,3400000
6802-4851,470000
6135-4480,365000
99090-1006,319000
81975-803,230000
51505-302,630000
84036-5362,195000
99895-4,330000
41876-3516,585000
82917-9345,144000
31397-4321,575000
99784-1695,880000
2505-103,245000
93825-3680,330000
4367-3879,460000
77162-2468,245000
0-32321489,1395000
65431-5943,189000
28880-1730,580000
77162-2603,580000
5399-2166,160000
5812-2639,195000
6060-34856,508000
32154-216,399000
93573-6,525000
30407-762,470000
51977-1828,233000
30001-4741,290000
23862-11263,67000
62493-1343,950000
30001-4554,675000
6510-1556,480000
91638-316,750000
51109-3140,435000
41756-13561,550000
77162-2745,1100000
5121-3252,650000
63555-9229,475000
70698-919,165000
63021-4266,520000
28880-1954,499000
0-24230496,680000
2608-1818,4800000
6171-4921,600000
3483-2777,329000
76785-3102,175000
9999-621,178000
6802-8835,850000
5121-3237,800000
2401-12821,2170000
0-32067458,1150000
82476-1085,129000
82476-1089,169000
99784-1682,260000
28880-1725,525000
1518-7289,765000
51977-1644,415000
6135-4579,1350000
5782-3753,285000
84036-5325,200000
5121-3082,398000
28880-1754,999000
59368-2309,710000
51505-178,735000
102045-23,140000
57398-344,189000
103168-70,143500
91324-777,780000
2008-3888,318000
692053-139,298700
6364-327,375000
98278-50,375000
52014-4693,168000
104765-291,198000
49157-15904,384000
9434-2227,265000
3763-4303,57000
32154-201,418000
61986-947,285000
91032-569,173000
6166-19535,595000
94984-324,320000
92090-2125,1350000
30001-5019,910000
31610-10147,450000
2460-2115,375000
82476-1145,880000
97600-1115,650000
96604-50,140000
7433-3651,290000
64277-2401,790000
97051-425,655000
81672-308,305000
93678-4229,142000
6575-407,215000
94368-114,395000
51109-3089,525000
1100-9519,820000
92090-2172,249000
0-32009209,390000
51109-3091,240000
70459-600,990000
6060-34892,265000
28880-1959,550000
61956-1454,460000
1049-158604,990000
41553-4116,289000
81137-2658,760000
91638-325,2500000
4480-16628,490000
70383-2732,255000
28880-1960,499000
